Time Stamp,Time Step,Participant ID,Take ID,Mode Message,Gripper PWM,Arm PWM,Object Index,Far Proximity Mode,Close Proximity Mode,Gripping Mode,Holding Object Mode,Speed Mode,Haptic Controller Mode,Left Touch,Right Touch,Calibration Arm PWM,Traversal Map ID,Traversal Step,Ring To Move From,Ring To Move To,Index Finger X,Index Finger Y,Index Finger Z,Thumb X,Thumb Y,Thumb Z,Pinch Aperture,Controller HitBox X,Controller HitBox Y,Controller HitBox Z,Controller Hitbox Rotation X,Controller Hitbox Rotation Y,Controller Hitbox Rotation Z,Cube 0 X,Cube 0 Y,Cube 0 Z,Cube 0 Rotation X,Cube 0 Rotation Y,Cube 0 Rotation Z,Cube 1 X,Cube 1 Y,Cube 1 Z,Cube 1 Rotation X,Cube 1 Rotation Y,Cube 1 Rotation Z,Physical Object 0 X,Physical Object 0 Y,Physical Object 0 Z,Physical Object 0 Rotation X,Physical Object 0 Rotation Y,Physical Object 0 Rotation Z,Physical Object 1 X,Physical Object 1 Y,Physical Object 1 Z,Physical Object 1 Rotation X,Physical Object 1 Rotation Y,Physical Object 1 Rotation Z
72840,10,12,1,-1,22,90,-1,False,False,False,False,Fast,Standby Mode,False,False,60,1,0,0,0,0.0676493,0.07274104,-0.2690104,0.02554032,0.06443027,-0.3013192,0.05372234,0.4736937,0.02899149,0.3636887,0.02797164,0.1612886,0.03923008,0.03468182,0.530005,0,0,0,8.978501E-07,-0.02531819,0.530005,0,0,0,-2.32755E-06,-0.2937241,0.06284396,-0.1708886,0.004525377,0.2488054,-0.003830098,0.006233429,0.06259102,-0.1660696,0.00416404,0.2723415,0.005965517
72850,10,12,1,-1,22,90,-1,False,False,False,False,Fast,Standby Mode,False,False,60,1,0,0,0,0.0676493,0.07274104,-0.2690104,0.02554032,0.06443027,-0.3013192,0.05372234,0.4736937,0.02899149,0.3636887,0.02797164,0.1612886,0.03923008,0.03468182,0.530005,0,0,0,8.978501E-07,-0.02531819,0.530005,0,0,0,-2.32755E-06,-0.2937241,0.06284396,-0.1708886,0.004525377,0.2488054,-0.003830098,0.006233429,0.06259102,-0.1660696,0.00416404,0.2723415,0.005965517
72860,10,12,1,-1,22,90,-1,False,False,False,False,Fast,Standby Mode,False,False,60,1,0,0,0,0.067773,0.07268389,-0.2690611,0.02555322,0.06440394,-0.3013344,0.0537832,0.4736782,0.02899386,0.3636808,0.02784169,0.1613149,0.03934954,0.03468182,0.530005,0,0,0,8.978501E-07,-0.02531819,0.530005,0,0,0,-2.32755E-06,-0.2937298,0.06285303,-0.1708818,0.004368881,0.2487445,-0.003610438,0.006233017,0.0625964,-0.166064,0.004126665,0.2723037,0.005947514
72869.99,10,12,1,-1,22,90,-1,False,False,False,False,Fast,Standby Mode,False,False,60,1,0,0,0,0.067834,0.07270119,-0.2690528,0.02557964,0.06441003,-0.3013935,0.05385251,0.4736751,0.0289857,0.3636889,0.02775818,0.1613169,0.03933024,0.03468182,0.530005,0,0,0,8.978501E-07,-0.02531819,0.530005,0,0,0,-2.32755E-06,-0.2937287,0.06285135,-0.1708781,0.004300943,0.2486807,-0.003361811,0.006234297,0.06259324,-0.1660617,0.004191612,0.2723014,0.00600959
72880,10,12,1,-1,22,90,-1,False,False,False,False,Fast,Standby Mode,False,False,60,1,0,0,0,0.067834,0.07270119,-0.2690528,0.02557964,0.06441003,-0.3013935,0.05385251,0.4736751,0.0289857,0.3636889,0.02775818,0.1613169,0.03933024,0.03468182,0.530005,0,0,0,8.978501E-07,-0.02531819,0.530005,0,0,0,-2.32755E-06,-0.2937287,0.06285135,-0.1708781,0.004300943,0.2486807,-0.003361811,0.006234297,0.06259324,-0.1660617,0.004191612,0.2723014,0.00600959
72890,10,12,1,-1,22,90,-1,False,False,False,False,Fast,Standby Mode,False,False,60,1,0,0,0,0.06797219,0.0728406,-0.2689646,0.02560796,0.06446506,-0.301431,0.05402727,0.473677,0.02898556,0.3636904,0.02782036,0.1612967,0.03931583,0.03468182,0.530005,0,0,0,8.978501E-07,-0.02531819,0.530005,0,0,0,-2.32755E-06,-0.2936883,0.06284969,-0.1708549,0.004358145,0.2485495,-0.00337756,0.006230304,0.06259339,-0.1660606,0.004231441,0.2722935,0.00600072
72900,10,12,1,-1,22,90,-1,False,False,False,False,Fast,Standby Mode,False,False,60,1,0,0,0,0.06817686,0.07299356,-0.2688269,0.02562786,0.0644686,-0.3014393,0.05428316,0.473671,0.02898468,0.3636867,0.02779312,0.1612743,0.03931035,0.03468182,0.530005,0,0,0,8.978501E-07,-0.02531819,0.530005,0,0,0,-2.32755E-06,-0.2937355,0.06284709,-0.1708867,0.004556673,0.2487558,-0.003872277,0.006225693,0.06259248,-0.1660615,0.0042112,0.2722842,0.005939538
72909.99,10,12,1,-1,22,90,-1,False,False,False,False,Fast,Standby Mode,False,False,60,1,0,0,0,0.0684254,0.07320942,-0.2687327,0.02563563,0.06439361,-0.3014534,0.05458322,0.4736748,0.02899213,0.3636763,0.02786365,0.1612937,0.03929419,0.03468182,0.530005,0,0,0,8.978501E-07,-0.02531819,0.530005,0,0,0,-2.32755E-06,-0.2937127,0.0628226,-0.1708916,0.004652031,0.2488261,-0.004260894,0.006218154,0.06259318,-0.1660786,0.004069982,0.2722922,0.005949103
72920,10,12,1,-1,22,90,-1,False,False,False,False,Fast,Standby Mode,False,False,60,1,0,0,0,0.0684254,0.07320942,-0.2687327,0.02563563,0.06439361,-0.3014534,0.05458322,0.4736748,0.02899213,0.3636763,0.02786365,0.1612937,0.03929419,0.03468182,0.530005,0,0,0,8.978501E-07,-0.02531819,0.530005,0,0,0,-2.32755E-06,-0.2937127,0.0628226,-0.1708916,0.004652031,0.2488261,-0.004260894,0.006218154,0.06259318,-0.1660786,0.004069982,0.2722922,0.005949103
72930,10,12,1,-1,22,90,-1,False,False,False,False,Fast,Standby Mode,False,False,60,1,0,0,0,0.06847823,0.07313773,-0.268824,0.02563424,0.06430108,-0.3014577,0.05457703,0.4736772,0.02899245,0.3636775,0.0277741,0.1612769,0.03927833,0.03468182,0.530005,0,0,0,8.978501E-07,-0.02531819,0.530005,0,0,0,-2.32755E-06,-0.2937217,0.06284805,-0.1708872,0.00444888,0.2486464,-0.003724113,0.006220154,0.06259399,-0.1660776,0.004090142,0.2722414,0.005980038
