Time Stamp,Time Step,Participant ID,Take ID,Mode Message,Gripper PWM,Arm PWM,Object Index,Far Proximity Mode,Close Proximity Mode,Gripping Mode,Holding Object Mode,Speed Mode,Haptic Controller Mode,Left Touch,Right Touch,Calibration Arm PWM,Traversal Map ID,Traversal Step,Ring To Move From,Ring To Move To,Index Finger X,Index Finger Y,Index Finger Z,Thumb X,Thumb Y,Thumb Z,Pinch Aperture,Controller HitBox X,Controller HitBox Y,Controller HitBox Z,Controller Hitbox Rotation X,Controller Hitbox Rotation Y,Controller Hitbox Rotation Z,Cube 0 X,Cube 0 Y,Cube 0 Z,Cube 0 Rotation X,Cube 0 Rotation Y,Cube 0 Rotation Z,Cube 1 X,Cube 1 Y,Cube 1 Z,Cube 1 Rotation X,Cube 1 Rotation Y,Cube 1 Rotation Z,Physical Object 0 X,Physical Object 0 Y,Physical Object 0 Z,Physical Object 0 Rotation X,Physical Object 0 Rotation Y,Physical Object 0 Rotation Z,Physical Object 1 X,Physical Object 1 Y,Physical Object 1 Z,Physical Object 1 Rotation X,Physical Object 1 Rotation Y,Physical Object 1 Rotation Z
201810,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1158942,0.3869058,-0.3788317,-0.1613957,0.4048974,-0.423986,0.06658081,-0.1475942,0.3972701,-0.4068322,0.06235567,-0.3877995,-0.09626919,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201820,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1158942,0.3869058,-0.3788317,-0.1613957,0.4048974,-0.423986,0.06658081,-0.1475942,0.3972701,-0.4068322,0.06235567,-0.3877995,-0.09626919,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201830,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1159334,0.3868757,-0.3787815,-0.1613895,0.404773,-0.4239583,0.06653956,-0.1475542,0.3971277,-0.4068343,0.06205336,-0.3875794,-0.09652492,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201840,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.115916,0.3869075,-0.3787156,-0.1613705,0.4047594,-0.4239008,0.06653196,-0.1476012,0.3970937,-0.4067925,0.06216485,-0.3875624,-0.09652982,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201850,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.11596,0.3868568,-0.378614,-0.1613794,0.4047469,-0.4237698,0.06649832,-0.1476814,0.396993,-0.4067799,0.06225589,-0.3878392,-0.0961517,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201860,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.11596,0.3868568,-0.378614,-0.1613794,0.4047469,-0.4237698,0.06649832,-0.1476814,0.396993,-0.4067799,0.06225589,-0.3878392,-0.0961517,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201870,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.11596,0.3868568,-0.378614,-0.1613794,0.4047469,-0.4237698,0.06649832,-0.1476814,0.396993,-0.4067799,0.06225589,-0.3878392,-0.0961517,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201880,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1159227,0.3868435,-0.3785531,-0.1614057,0.404542,-0.4237631,0.06652731,-0.1476788,0.3970054,-0.4067339,0.06224639,-0.3879774,-0.09621579,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201890,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1159227,0.3868435,-0.3785531,-0.1614057,0.404542,-0.4237631,0.06652731,-0.1476788,0.3970054,-0.4067339,0.06224639,-0.3879774,-0.09621579,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201900,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1159221,0.3868489,-0.3785214,-0.1613807,0.4044734,-0.4237103,0.06647663,-0.147651,0.3969646,-0.4067525,0.0619321,-0.3879818,-0.09647302,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201910,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1160737,0.3867092,-0.3785003,-0.1613047,0.4044015,-0.4236267,0.06629664,-0.1476245,0.3970061,-0.4067055,0.06185406,-0.3879739,-0.09676298,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201920,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1160737,0.3867092,-0.3785003,-0.1613047,0.4044015,-0.4236267,0.06629664,-0.1476245,0.3970061,-0.4067055,0.06185406,-0.3879739,-0.09676298,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201930,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1160737,0.3867092,-0.3785003,-0.1613047,0.4044015,-0.4236267,0.06629664,-0.1476245,0.3970061,-0.4067055,0.06185406,-0.3879739,-0.09676298,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201940,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1161086,0.3866716,-0.3785024,-0.1613388,0.4043074,-0.4236476,0.06629398,-0.1476387,0.3968704,-0.4067842,0.06160352,-0.3879657,-0.09713827,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201950,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1160978,0.3866629,-0.3784917,-0.1614367,0.4043044,-0.4237781,0.06646569,-0.147688,0.3967581,-0.4068552,0.06152746,-0.3881022,-0.097336,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
201960,10,8,4,1,34,40,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,22,4,0,0,2,-0.1160922,0.3866636,-0.3784891,-0.1615541,0.4043621,-0.4238836,0.06663843,-0.1477334,0.3965256,-0.4069913,0.06123881,-0.3882785,-0.09747501,-0.2760097,0.3476789,-0.3570772,5.158196E-05,0.9204672,1.163059E-05,0.01509126,0.3476789,-0.4295995,2.175084E-07,0.9204672,2.871782E-07,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
