Time Stamp,Time Step,Participant ID,Take ID,Mode Message,Gripper PWM,Arm PWM,Object Index,Far Proximity Mode,Close Proximity Mode,Gripping Mode,Holding Object Mode,Speed Mode,Haptic Controller Mode,Left Touch,Right Touch,Calibration Arm PWM,Traversal Map ID,Traversal Step,Ring To Move From,Ring To Move To,Index Finger X,Index Finger Y,Index Finger Z,Thumb X,Thumb Y,Thumb Z,Pinch Aperture,Controller HitBox X,Controller HitBox Y,Controller HitBox Z,Controller Hitbox Rotation X,Controller Hitbox Rotation Y,Controller Hitbox Rotation Z,Cube 0 X,Cube 0 Y,Cube 0 Z,Cube 0 Rotation X,Cube 0 Rotation Y,Cube 0 Rotation Z,Cube 1 X,Cube 1 Y,Cube 1 Z,Cube 1 Rotation X,Cube 1 Rotation Y,Cube 1 Rotation Z,Physical Object 0 X,Physical Object 0 Y,Physical Object 0 Z,Physical Object 0 Rotation X,Physical Object 0 Rotation Y,Physical Object 0 Rotation Z,Physical Object 1 X,Physical Object 1 Y,Physical Object 1 Z,Physical Object 1 Rotation X,Physical Object 1 Rotation Y,Physical Object 1 Rotation Z
67610,10,33,5,1,22,100,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,66,3,0,0,0,-0.07576416,0.472914,-0.3626933,-0.1070282,0.4758019,-0.386032,0.03912129,-0.09003913,0.4737793,-0.3724308,-0.1732331,0.4123962,0.1468805,-0.2477387,0.3895927,-0.3228136,-8.381093E-06,0.9540332,-3.04878E-05,0.02388552,0.3895927,-0.4501718,-1.093632E-05,0.9540332,4.474353E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
67619.99,10,33,5,1,22,100,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,66,3,0,0,0,-0.0757636,0.4728246,-0.3626286,-0.1070183,0.4757433,-0.3859886,0.03912883,-0.09001044,0.4736328,-0.3724354,-0.1731643,0.4121391,0.1473227,-0.2477387,0.3895927,-0.3228136,-8.381093E-06,0.9540332,-3.04878E-05,0.02388552,0.3895927,-0.4501718,-1.093632E-05,0.9540332,4.474353E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
67630,10,33,5,1,22,100,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,66,3,0,0,0,-0.0757636,0.4728246,-0.3626286,-0.1070183,0.4757433,-0.3859886,0.03912883,-0.09001044,0.4736328,-0.3724354,-0.1731643,0.4121391,0.1473227,-0.2477387,0.3895927,-0.3228136,-8.381093E-06,0.9540332,-3.04878E-05,0.02388552,0.3895927,-0.4501718,-1.093632E-05,0.9540332,4.474353E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
67640,10,33,5,1,22,100,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,66,3,0,0,0,-0.07573588,0.4726754,-0.3625857,-0.1069917,0.4756399,-0.3859054,0.03910914,-0.08999439,0.4735507,-0.3723462,-0.1733381,0.4120525,0.1475041,-0.2477387,0.3895927,-0.3228136,-8.381093E-06,0.9540332,-3.04878E-05,0.02388552,0.3895927,-0.4501718,-1.093632E-05,0.9540332,4.474353E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
67650,10,33,5,1,22,100,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,66,3,0,0,0,-0.07573112,0.4724528,-0.3624679,-0.1071205,0.4755048,-0.3856713,0.03915358,-0.09000963,0.4734035,-0.3719507,-0.1742879,0.4121467,0.1472858,-0.2477387,0.3895927,-0.3228136,-8.381093E-06,0.9540332,-3.04878E-05,0.02388552,0.3895927,-0.4501718,-1.093632E-05,0.9540332,4.474353E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
67659.99,10,33,5,1,22,100,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,66,3,0,0,0,-0.07573112,0.4724528,-0.3624679,-0.1071205,0.4755048,-0.3856713,0.03915358,-0.09000963,0.4734035,-0.3719507,-0.1742879,0.4121467,0.1472858,-0.2477387,0.3895927,-0.3228136,-8.381093E-06,0.9540332,-3.04878E-05,0.02388552,0.3895927,-0.4501718,-1.093632E-05,0.9540332,4.474353E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
67670,10,33,5,1,22,100,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,66,3,0,0,0,-0.07573112,0.4724528,-0.3624679,-0.1071205,0.4755048,-0.3856713,0.03915358,-0.09000963,0.4734035,-0.3719507,-0.1742879,0.4121467,0.1472858,-0.2477387,0.3895927,-0.3228136,-8.381093E-06,0.9540332,-3.04878E-05,0.02388552,0.3895927,-0.4501718,-1.093632E-05,0.9540332,4.474353E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
67680,10,33,5,1,22,100,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,66,3,0,0,0,-0.07569548,0.4720815,-0.362394,-0.107054,0.4751441,-0.3856016,0.03913214,-0.08997913,0.4730034,-0.3718252,-0.1744392,0.4119155,0.1471301,-0.2477387,0.3895927,-0.3228136,-8.381093E-06,0.9540332,-3.04878E-05,0.02388552,0.3895927,-0.4501718,-1.093632E-05,0.9540332,4.474353E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
67689.99,10,33,5,1,22,100,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,66,3,0,0,0,-0.07569548,0.4720815,-0.362394,-0.107054,0.4751441,-0.3856016,0.03913214,-0.08997913,0.4730034,-0.3718252,-0.1744392,0.4119155,0.1471301,-0.2477387,0.3895927,-0.3228136,-8.381093E-06,0.9540332,-3.04878E-05,0.02388552,0.3895927,-0.4501718,-1.093632E-05,0.9540332,4.474353E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
67700,10,33,5,1,22,100,-1,False,False,False,False,Fast,Encountered-Type Haptic Mode,False,False,66,3,0,0,0,-0.07569548,0.4720815,-0.362394,-0.107054,0.4751441,-0.3856016,0.03913214,-0.08997913,0.4730034,-0.3718252,-0.1744392,0.4119155,0.1471301,-0.2477387,0.3895927,-0.3228136,-8.381093E-06,0.9540332,-3.04878E-05,0.02388552,0.3895927,-0.4501718,-1.093632E-05,0.9540332,4.474353E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
