Time Stamp,Time Step,Participant ID,Take ID,Mode Message,Gripper PWM,Arm PWM,Object Index,Far Proximity Mode,Close Proximity Mode,Gripping Mode,Holding Object Mode,Haptic Controller Mode,Left Touch,Right Touch,Calibration Arm PWM,Pick Up Map ID,Pick Up Step,Ring Location,Object To Grab,Grab Status,Index Finger X,Index Finger Y,Index Finger Z,Thumb X,Thumb Y,Thumb Z,Pinch Aperture,Controller HitBox X,Controller HitBox Y,Controller HitBox Z,Controller Hitbox Rotation X,Controller Hitbox Rotation Y,Controller Hitbox Rotation Z,Object 0 X,Object 0 Y,Object 0 Z,Object 0 Rotation X,Object 0 Rotation Y,Object 0 Rotation Z,Object 1 X,Object 1 Y,Object 1 Z,Object 1 Rotation X,Object 1 Rotation Y,Object 1 Rotation Z,Object 2 X,Object 2 Y,Object 2 Z,Object 2 Rotation X,Object 2 Rotation Y,Object 2 Rotation Z,Physical Object 0 X,Physical Object 0 Y,Physical Object 0 Z,Physical Object 0 Rotation X,Physical Object 0 Rotation Y,Physical Object 0 Rotation Z,Physical Object 1 X,Physical Object 1 Y,Physical Object 1 Z,Physical Object 1 Rotation X,Physical Object 1 Rotation Y,Physical Object 1 Rotation Z
1154100,10,107,5,2,22,66,-1,False,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2371895,0.5755827,-0.003405921,0.1661033,0.5804964,-0.009621859,0.07152645,0.201154,0.5760217,-0.004502505,-0.1306018,0.08144934,0.07504277,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154110,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2377132,0.5741714,-0.001715811,0.1663247,0.5789322,-0.007890638,0.07181308,0.2013489,0.5744702,-0.002631217,-0.133488,0.08201808,0.07409581,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154120,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2377132,0.5741714,-0.001715811,0.1663247,0.5789322,-0.007890638,0.07181308,0.2013489,0.5744702,-0.002631217,-0.133488,0.08201808,0.07409581,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154130,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2381436,0.5728029,-0.0003049057,0.1664331,0.5775791,-0.006548349,0.07214003,0.2016992,0.5730667,-0.001166299,-0.1359584,0.08203948,0.07375808,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154140,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2384524,0.5712669,0.001244148,0.1665293,0.5762358,-0.005020574,0.07236625,0.202033,0.5714558,0.0003735721,-0.1386397,0.08121412,0.07382808,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154150,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2392005,0.5697379,0.002521515,0.1668041,0.5748684,-0.003543932,0.07283095,0.2024207,0.5698038,0.001752123,-0.1409721,0.07987032,0.07498933,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154160,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2392005,0.5697379,0.002521515,0.1668041,0.5748684,-0.003543932,0.07283095,0.2024207,0.5698038,0.001752123,-0.1409721,0.07987032,0.07498933,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154170,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2397836,0.5665289,0.005393703,0.1675023,0.5718988,-0.0007568635,0.07274096,0.2032349,0.5668998,0.004643142,-0.144599,0.07859767,0.0766036,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154180,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2397836,0.5665289,0.005393703,0.1675023,0.5718988,-0.0007568635,0.07274096,0.2032349,0.5668998,0.004643142,-0.144599,0.07859767,0.0766036,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154190,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2397836,0.5665289,0.005393703,0.1675023,0.5718988,-0.0007568635,0.07274096,0.2032349,0.5668998,0.004643142,-0.144599,0.07859767,0.0766036,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154200,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2395398,0.5649217,0.006773934,0.1676047,0.5703732,0.0005606636,0.0724084,0.2034836,0.5654708,0.005897231,-0.1459218,0.07836341,0.07690221,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154210,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2393847,0.5636626,0.008021001,0.1678492,0.56895,0.001816973,0.07199847,0.2034813,0.5640612,0.007157244,-0.1474004,0.0783677,0.07638951,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154220,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2393847,0.5636626,0.008021001,0.1678492,0.56895,0.001816973,0.07199847,0.2034813,0.5640612,0.007157244,-0.1474004,0.0783677,0.07638951,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154230,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2395387,0.5610075,0.01045952,0.1684431,0.5661361,0.004315507,0.07154467,0.2036605,0.5615394,0.009622335,-0.1498239,0.08002643,0.0748921,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
1154240,10,107,5,2,22,66,2,True,False,False,False,Constant-Contact Step Mode,False,False,66,3,12,B,2,object spawned,0.2395387,0.5610075,0.01045952,0.1684431,0.5661361,0.004315507,0.07154467,0.2036605,0.5615394,0.009622335,-0.1498239,0.08002643,0.0748921,7.450581E-09,0,1.490116E-08,0,0.9989201,0,7.450581E-09,0,1.490116E-08,0,0.9989201,0,0.2212099,0.5288839,0.08123588,-7.197276E-08,0.9989201,1.547474E-06,0.1286101,0.1094603,-0.2111016,0,0,0,0.1286101,0.1094603,-0.2111016,0,0,0
